P(Et | Xt)
P(l | p) = 0.00424975482184
P(t | p) = 0.000653808434129
P(n | p) = 0.00163452108532
P(i | s) = 0.147223749313
P(d | s) = 0.0160527762507
P(p | s) = 0.00989554700385
P(e | s) = 0.162506871908
P(t | s) = 0.0422210005498
P(u | s) = 0.0700384826828
P(r | s) = 0.0295766904893
P(m | s) = 0.0158328752062
P(n | s) = 0.0505772402419
P(_ | s) = 0.225288620121
P(s | s) = 0.0578339747114
P(o | s) = 0.0370533260033
P(a | s) = 0.0704782847719
P(g | s) = 0.00703683342496
P(l | s) = 0.0170423309511
P(h | s) = 0.0021990104453
P(w | s) = 0.00164925783397
P(y | s) = 0.0300164925783
P(k | s) = 0.00318856514568
P(b | s) = 0.00175920835624
P(c | s) = 0.00142935678944
P(f | s) = 0.000549752611325
P(v | s) = 0.000549752611325
P(i | r) = 0.044005678152
P(o | r) = 0.189830945929
P(e | r) = 0.22854561879
P(b | r) = 0.00916247257711
P(h | r) = 0.0129048909537
P(_ | r) = 0.0920118724997
P(t | r) = 0.0640082591302
P(a | r) = 0.115240676216
P(f | r) = 0.0289069557362
P(c | r) = 0.0200025809782
P(p | r) = 0.0731707317073
P(u | r) = 0.0607820363918
P(g | r) = 0.0292941024648
P(r | r) = 0.01393728223
P(d | r) = 0.0108401084011
P(l | r) = 0.00258097819073
P(s | r) = 0.00296812491934
P(w | r) = 0.0014195380049
P(n | r) = 0.00038714672861
P(o | u) = 0.219218415418
P(a | u) = 0.0428265524625
P(b | u) = 0.0669164882227
P(_ | u) = 0.0744111349036
P(s | u) = 0.108137044968
P(j | u) = 0.0112419700214
P(l | u) = 0.0428265524625
P(h | u) = 0.0567451820128
P(t | u) = 0.0591541755889
P(q | u) = 0.0380085653105
P(c | u) = 0.0345289079229
P(f | u) = 0.0321199143469
P(r | u) = 0.0388115631692
P(m | u) = 0.0313169164882
P(g | u) = 0.0182012847966
P(p | u) = 0.0422912205567
P(e | u) = 0.00267665952891
P(d | u) = 0.0653104925054
P(x | u) = 0.00214132762313
P(n | u) = 0.0115096359743
P(i | u) = 0.000535331905782
P(k | u) = 0.000535331905782
P(v | u) = 0.000535331905782
P(_ | t) = 0.367173627731
P(n | t) = 0.0824519416351
P(a | t) = 0.12753802208
P(o | t) = 0.0358218173396
P(i | t) = 0.0951131012121
P(t | t) = 0.0121207442291
P(s | t) = 0.0929514398209
P(u | t) = 0.043850845364
P(h | t) = 0.00594456882575
P(c | t) = 0.0332741449857
P(e | t) = 0.0423840037057
P(f | t) = 0.0119663398441
P(y | t) = 0.00100362850305
P(p | t) = 0.00717980390643
P(r | t) = 0.0268663630047
P(x | t) = 0.00409171620474
P(l | t) = 0.0080290280244
P(b | t) = 0.00131243727322
P(w | t) = 0.000617617540338
P(g | t) = 0.000308808770169
P(o | w) = 0.206978967495
P(_ | w) = 0.699808795411
P(t | w) = 0.0186424474187
P(r | w) = 0.00764818355641
P(e | w) = 0.0353728489484
P(s | w) = 0.00286806883365
P(n | w) = 0.00334608030593
P(l | w) = 0.0057361376673
P(a | w) = 0.0133843212237
P(d | w) = 0.00286806883365
P(y | w) = 0.0019120458891
P(h | w) = 0.00143403441683
P(_ | v) = 0.0726164079823
P(a | v) = 0.181818181818
P(o | v) = 0.104767184035
P(e | v) = 0.226164079823
P(i | v) = 0.2544345898
P(l | v) = 0.0410199556541
P(r | v) = 0.0382483370288
P(n | v) = 0.0410199556541
P(d | v) = 0.0332594235033
P(b | v) = 0.00443458980044
P(m | v) = 0.00110864745011
P(t | v) = 0.00110864745011
P(b | y) = 0.0680515759312
P(e | y) = 0.0766475644699
P(s | y) = 0.099212034384
P(l | y) = 0.210601719198
P(f | y) = 0.01611747851
P(n | y) = 0.0644699140401
P(g | y) = 0.0573065902579
P(r | y) = 0.0694842406877
P(t | y) = 0.145415472779
P(a | y) = 0.0884670487106
P(m | y) = 0.0139684813754
P(h | y) = 0.0189828080229
P(_ | y) = 0.0268624641834
P(c | y) = 0.00823782234957
P(d | y) = 0.0143266475645
P(z | y) = 0.000716332378223
P(o | y) = 0.0132521489971
P(p | y) = 0.00501432664756
P(k | y) = 0.000716332378223
P(v | y) = 0.00107449856734
P(u | y) = 0.00107449856734
P(e | x) = 0.898876404494
P(_ | x) = 0.0149812734082
P(n | x) = 0.0224719101124
P(a | x) = 0.0187265917603
P(u | x) = 0.0149812734082
P(o | x) = 0.0187265917603
P(i | x) = 0.0112359550562
P(i | z) = 0.916666666667
P(o | z) = 0.025
P(a | z) = 0.0583333333333
P(Xt)
P(_) = 0.168837379741
P(a) = 0.0613700025465
P(c) = 0.028023626302
P(b) = 0.0120988528449
P(e) = 0.104964380431
P(d) = 0.0264957424211
P(g) = 0.0158378207159
P(f) = 0.0192848758129
P(i) = 0.0633388610433
P(h) = 0.0389237735005
P(k) = 0.00347810964741
P(j) = 0.000621091008465
P(m) = 0.02201146534
P(l) = 0.037048078655
P(o) = 0.0695994584086
P(n) = 0.0568670927351
P(q) = 0.00089437105219
P(p) = 0.0189060102977
P(s) = 0.0563515871981
P(r) = 0.0480165458645
P(u) = 0.0230673200544
P(t) = 0.0803319110349
P(w) = 0.0129249038862
P(v) = 0.0111361617818
P(y) = 0.0172166427547
P(x) = 0.00162104753209
P(z) = 0.000732887389989
